account_circle
[I 2023-10-21 03:00:58,164] A new study created in memory with name: no-name-083f0af8-5817-4963-ab59-2951f545829a
[I 2023-10-21 03:01:31,933] Trial 0 finished with value: 0.8906804749442768 and parameters: {'n_estimators': 11000, 'max_depth': 6, 'min_child_weight': 8, 'learning_rate': 0.046932258671955655, 'subsample': 0.7519790389899815, 'colsample_bytree': 0.26055855776343934, 'reg_alpha': 8.137093282823788, 'reg_lambda': 6.581230755902668, 'gamma': 0.7999999999999999}. Best is trial 0 with value: 0.8906804749442768.
[I 2023-10-21 04:08:06,838] Trial 66 finished with value: 0.9081134162160356 and parameters: {'n_estimators': 7700, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.008147335426813283, 'subsample': 0.9058598510914805, 'colsample_bytree': 0.8912535634639962, 'reg_alpha': 0.30206224353366373, 'reg_lambda': 4.127577217042324, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:08:44,605] Trial 67 finished with value: 0.908408347416896 and parameters: {'n_estimators': 7700, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.008907749667162908, 'subsample': 0.920597035268358, 'colsample_bytree': 0.8890390992214985, 'reg_alpha': 0.3190733524288472, 'reg_lambda': 3.944479645247493, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:09:22,260] Trial 68 finished with value: 0.9081037600563759 and parameters: {'n_estimators': 7700, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.008690453796558898, 'subsample': 0.9227029937190632, 'colsample_bytree': 0.8911445833273642, 'reg_alpha': 0.3202405534826245, 'reg_lambda': 3.827338759574818, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:09:53,970] Trial 69 finished with value: 0.9071422506447981 and parameters: {'n_estimators': 7900, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.00964878021329333, 'subsample': 0.9320980558194282, 'colsample_bytree': 0.8667664081067296, 'reg_alpha': 0.29088047483524904, 'reg_lambda': 3.9381758637851463, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:10:28,876] Trial 70 finished with value: 0.9079796116252672 and parameters: {'n_estimators': 7600, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.010501489926037949, 'subsample': 0.9078974045294156, 'colsample_bytree': 0.7911620825850381, 'reg_alpha': 0.297150124927747, 'reg_lambda': 3.79986273854092, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:11:09,892] Trial 71 finished with value: 0.9076524996220434 and parameters: {'n_estimators': 7800, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.00766785525414698, 'subsample': 0.9172651585121188, 'colsample_bytree': 0.8757154509757199, 'reg_alpha': 0.7649365997712803, 'reg_lambda': 4.393960495798233, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:11:51,296] Trial 72 finished with value: 0.9083103312557085 and parameters: {'n_estimators': 7700, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.00856780816690053, 'subsample': 0.8936054932156144, 'colsample_bytree': 0.8962303694202362, 'reg_alpha': 0.03828506227778117, 'reg_lambda': 3.3453710387096973, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:12:27,588] Trial 73 finished with value: 0.9074784124192766 and parameters: {'n_estimators': 8000, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.008986059004867857, 'subsample': 0.9020324855321933, 'colsample_bytree': 0.8926748855698527, 'reg_alpha': 0.03205775106970554, 'reg_lambda': 3.2696879738616547, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:12:59,284] Trial 74 finished with value: 0.9084419213774296 and parameters: {'n_estimators': 7600, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.011746809708647254, 'subsample': 0.9239165929278836, 'colsample_bytree': 0.8400714839792688, 'reg_alpha': 0.32703754985539035, 'reg_lambda': 3.7219757921687413, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:13:34,705] Trial 75 finished with value: 0.9080729071678608 and parameters: {'n_estimators': 7500, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.01109841019617857, 'subsample': 0.8943406422314989, 'colsample_bytree': 0.8378953359835559, 'reg_alpha': 0.5453484230646327, 'reg_lambda': 4.189313984332918, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:14:16,720] Trial 76 finished with value: 0.9080749834724618 and parameters: {'n_estimators': 8000, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.006520082144864913, 'subsample': 0.9311523224480355, 'colsample_bytree': 0.7593527462153602, 'reg_alpha': 0.047971770176393536, 'reg_lambda': 3.178084251204823, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:14:45,650] Trial 77 finished with value: 0.9072708472035086 and parameters: {'n_estimators': 7700, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.012731964394842367, 'subsample': 0.9109105491022029, 'colsample_bytree': 0.802712659049126, 'reg_alpha': 1.0405915866557296, 'reg_lambda': 2.570873348702052, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:15:10,470] Trial 78 finished with value: 0.9079262187424433 and parameters: {'n_estimators': 7900, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.019818977920724422, 'subsample': 0.9396858368981728, 'colsample_bytree': 0.9276348671652979, 'reg_alpha': 0.4694566008969874, 'reg_lambda': 4.614785973675911, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:15:56,115] Trial 79 finished with value: 0.9077751589474498 and parameters: {'n_estimators': 7600, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.0058568172160282424, 'subsample': 0.9222313163091193, 'colsample_bytree': 0.8565198699001351, 'reg_alpha': 0.8070539253930682, 'reg_lambda': 3.5818444884176253, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:16:25,091] Trial 80 finished with value: 0.904411925446219 and parameters: {'n_estimators': 7800, 'max_depth': 7, 'min_child_weight': 7, 'learning_rate': 0.011370060269324009, 'subsample': 0.9041827875849225, 'colsample_bytree': 0.8333707921264196, 'reg_alpha': 1.6811010037457152, 'reg_lambda': 4.149434724682321, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:17:04,784] Trial 81 finished with value: 0.9083631446154369 and parameters: {'n_estimators': 7600, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.008350148061382606, 'subsample': 0.9181066570874974, 'colsample_bytree': 0.8883799590950373, 'reg_alpha': 0.3425668787810768, 'reg_lambda': 3.881760787934977, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:17:40,806] Trial 82 finished with value: 0.9068352300548568 and parameters: {'n_estimators': 7500, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.008092290092521427, 'subsample': 0.913161472004935, 'colsample_bytree': 0.9152889536329932, 'reg_alpha': 0.22505662012458788, 'reg_lambda': 4.413283635900951, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:18:19,359] Trial 83 finished with value: 0.9082621771081529 and parameters: {'n_estimators': 8100, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.010116936650965162, 'subsample': 0.8958703421520361, 'colsample_bytree': 0.85829582642049, 'reg_alpha': 0.5570205952860262, 'reg_lambda': 3.7955139188181386, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:18:51,095] Trial 84 finished with value: 0.9081976581494733 and parameters: {'n_estimators': 7900, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.014801190631559493, 'subsample': 0.895629746537538, 'colsample_bytree': 0.8644502238414553, 'reg_alpha': 0.6585943724108392, 'reg_lambda': 3.7353761958178855, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:19:41,193] Trial 85 finished with value: 0.9076362422721554 and parameters: {'n_estimators': 8100, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.006436770516880519, 'subsample': 0.8835249443803718, 'colsample_bytree': 0.9448556047415435, 'reg_alpha': 1.1277218276167733, 'reg_lambda': 3.455155237522316, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:20:07,480] Trial 86 finished with value: 0.9065668072382451 and parameters: {'n_estimators': 7600, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.01186863006472356, 'subsample': 0.9538646702185911, 'colsample_bytree': 0.808170217453132, 'reg_alpha': 0.015106418823483533, 'reg_lambda': 4.568573012970576, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:20:48,348] Trial 87 finished with value: 0.9081656270252605 and parameters: {'n_estimators': 8100, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.00987830263402268, 'subsample': 0.9141736110902853, 'colsample_bytree': 0.8515058886297482, 'reg_alpha': 0.9247122775382852, 'reg_lambda': 4.790298922122616, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:21:20,067] Trial 88 finished with value: 0.9089660290162532 and parameters: {'n_estimators': 7900, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.01840632399148119, 'subsample': 0.890400709549394, 'colsample_bytree': 0.9143865250032145, 'reg_alpha': 0.5581023855369016, 'reg_lambda': 2.8522751670106805, 'gamma': 1.0}. Best is trial 88 with value: 0.9089660290162532.
[I 2023-10-21 04:21:49,767] Trial 89 finished with value: 0.908647440991807 and parameters: {'n_estimators': 8400, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.017639649910208326, 'subsample': 0.8969868769486032, 'colsample_bytree': 0.9176348552672066, 'reg_alpha': 0.6566501263832645, 'reg_lambda': 2.404775781357894, 'gamma': 1.0}. Best is trial 88 with value: 0.9089660290162532.
[I 2023-10-21 04:22:22,383] Trial 90 finished with value: 0.9091827169234007 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.018384789041756593, 'subsample': 0.8890559277079413, 'colsample_bytree': 0.9194066906720446, 'reg_alpha': 1.0850513006448774, 'reg_lambda': 2.3839140702545376, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:22:55,361] Trial 91 finished with value: 0.9086423480967877 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.01788288816050943, 'subsample': 0.8894125388764684, 'colsample_bytree': 0.9119965701148197, 'reg_alpha': 1.1783275474576669, 'reg_lambda': 2.640585328257639, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:23:28,024] Trial 92 finished with value: 0.9090771899893778 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.018427619281962494, 'subsample': 0.8891924377975607, 'colsample_bytree': 0.930143015497022, 'reg_alpha': 1.1633231869373475, 'reg_lambda': 2.511037683270352, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:24:00,844] Trial 93 finished with value: 0.9088767133773027 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.019099008162313066, 'subsample': 0.8807614270841927, 'colsample_bytree': 0.9254925521211084, 'reg_alpha': 1.2132017315280015, 'reg_lambda': 2.6235727732014107, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:24:31,063] Trial 94 finished with value: 0.9086591849697715 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.022938424087463015, 'subsample': 0.878313564733084, 'colsample_bytree': 0.9319396687796794, 'reg_alpha': 1.640001534899568, 'reg_lambda': 2.3973986229495594, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:25:04,287] Trial 95 finished with value: 0.9089520705692412 and parameters: {'n_estimators': 8800, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.01967198678565405, 'subsample': 0.8788805380721325, 'colsample_bytree': 0.9993482764428513, 'reg_alpha': 1.1646473648405842, 'reg_lambda': 1.9705209330873967, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:25:35,404] Trial 96 finished with value: 0.9085958404088881 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.021614494520185296, 'subsample': 0.8803358757783293, 'colsample_bytree': 0.9848757652413511, 'reg_alpha': 1.643651287667371, 'reg_lambda': 2.210666453180828, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:26:05,416] Trial 97 finished with value: 0.9087131995926052 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.02349633095599161, 'subsample': 0.8792804341250444, 'colsample_bytree': 0.9963525636933884, 'reg_alpha': 1.708093580793784, 'reg_lambda': 2.300679493142126, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:26:41,520] Trial 98 finished with value: 0.908854173382994 and parameters: {'n_estimators': 8900, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.01762344169985811, 'subsample': 0.8678255299576024, 'colsample_bytree': 0.9940910501469195, 'reg_alpha': 1.194074010284127, 'reg_lambda': 1.8832081997002517, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:27:11,554] Trial 99 finished with value: 0.908396545870412 and parameters: {'n_estimators': 8800, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.02784101070047561, 'subsample': 0.8670476634440772, 'colsample_bytree': 0.9840238856644116, 'reg_alpha': 1.9172969577287229, 'reg_lambda': 1.8805871096663624, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:27:42,686] Trial 100 finished with value: 0.9079912059250809 and parameters: {'n_estimators': 8900, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.023356381035725383, 'subsample': 0.8816371553625671, 'colsample_bytree': 0.994639875133646, 'reg_alpha': 2.264503218676849, 'reg_lambda': 1.5520537835408033, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:28:17,064] Trial 101 finished with value: 0.908955378840158 and parameters: {'n_estimators': 8600, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.018388847021008497, 'subsample': 0.8737233332071981, 'colsample_bytree': 0.939387432841245, 'reg_alpha': 1.1610463956335226, 'reg_lambda': 2.607861892398184, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:28:50,977] Trial 102 finished with value: 0.9085310643108216 and parameters: {'n_estimators': 8600, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.018902977540881653, 'subsample': 0.8724183626413576, 'colsample_bytree': 0.9382642158427441, 'reg_alpha': 1.5135172407470718, 'reg_lambda': 2.341765436748561, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:29:18,129] Trial 103 finished with value: 0.9087229478618959 and parameters: {'n_estimators': 8400, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.032973563939786475, 'subsample': 0.8786731172419132, 'colsample_bytree': 0.9368662311989904, 'reg_alpha': 1.206324273926787, 'reg_lambda': 2.966905071069226, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:29:45,895] Trial 104 finished with value: 0.9079388569514095 and parameters: {'n_estimators': 8700, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.03431454283616775, 'subsample': 0.8694692894610144, 'colsample_bytree': 0.9764381556579403, 'reg_alpha': 1.2250233023852912, 'reg_lambda': 2.9031203597493476, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:30:18,526] Trial 105 finished with value: 0.9076317787929487 and parameters: {'n_estimators': 9200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.02478360387276979, 'subsample': 0.8610463330256448, 'colsample_bytree': 0.9995238682628257, 'reg_alpha': 1.6281702267505285, 'reg_lambda': 2.0901377277015043, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
[I 2023-10-21 04:30:49,798] Trial 106 finished with value: 0.9082536262640666 and parameters: {'n_estimators': 8300, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.022017703913687812, 'subsample': 0.8761670492608428, 'colsample_bytree': 0.9397644795667099, 'reg_alpha': 2.0133988933447657, 'reg_lambda': 2.8429127355976034, 'gamma': 1.0}. Best is trial 90 with value: 0.9091827169234007.
